Month,1, 2, 3, 4, 
Road Depot Data points,
-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),
Town Data points,
-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),
Factory Data points,
-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),
City pops Data points,
-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),
Factory average level,
-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),
Grain Demand,
0,0,0,0,0,
Grain Supply,
0,0,0,0,0,
Grain_fulfillment,
-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),
Broke_pops,
0,0,0,0,0,
